154,3.69,Dennis Martinez,1,martide01,1991,NL,2.39,222.0,14,0.136,1.984,187,9,62,123,3,3,4,905,70,0,0
153,3.50,Scott Garrelts,1,garresc01,1989,NL,2.28,193.3,14,0.155,2.587,149,11,46,119,3,7,0,766,58,0,0
152,4.23,Ron Guidry,1,guidrro01,1979,AL,2.78,236.3,18,0.212,2.831,203,20,71,201,0,9,0,946,83,0,0
152,4.36,Kevin Millwood,1,millwke01,2005,AL,2.86,192.0,9,0.183,2.808,182,20,52,146,0,2,4,799,72,6,4
150,4.52,John Lackey,1,lackejo01,2007,AL,3.01,224.0,19,0.193,3.442,219,18,52,179,2,9,12,929,87,1,1
150,3.52,Mark Fidrych,1,fidryma01,1976,AL,2.34,250.3,19,0.097,1.830,217,12,53,97,3,6,3,996,76,0,0
150,4.49,Roy Oswalt,1,oswalro01,2006,NL,2.98,220.7,15,0.185,4.368,220,18,38,166,4,1,6,896,76,12,4
150,3.61,Steve Rogers,1,rogerst01,1982,NL,2.40,277.0,19,0.160,2.754,245,12,65,179,7,3,6,1122,84,0,0
148,4.09,Nolan Ryan,1,ryanno01,1987,NL,2.76,211.7,8,0.309,3.103,154,14,87,270,2,10,4,873,75,0,0
147,3.58,Craig Swan,1,swancr01,1978,NL,2.43,207.3,9,0.153,2.155,164,12,58,125,8,1,2,819,62,0,0
146,4.48,Freddy Garcia,1,garcifr02,2001,AL,3.05,238.7,18,0.168,2.362,199,16,69,163,6,3,5,971,88,8,5
145,3.72,Diego Segui,1,seguidi01,1970,AL,2.56,162.0,10,0.142,1.397,130,9,68,95,4,5,2,668,54,0,0
144,3.59,Alejandro Pena,1,penaal01,1984,NL,2.48,199.3,12,0.166,2.935,186,7,46,135,7,5,3,813,67,0,0
144,3.49,Steve Carlton,1,carltst01,1981,NL,2.42,190.0,13,0.235,2.887,152,9,62,179,3,9,1,763,59,0,0
143,4.00,Mike Boddicker,1,boddimi01,1984,AL,2.79,261.3,20,0.122,1.580,218,23,81,128,1,6,5,1051,95,0,0
143,4.05,Tom Seaver,1,seaveto01,1970,NL,2.82,290.7,18,0.241,3.410,230,21,83,283,8,6,4,1173,103,0,0
139,3.51,John Denny,1,dennyjo01,1976,NL,2.52,207.0,11,0.086,1.000,189,11,74,74,3,5,8,861,71,0,0
138,3.74,J. R. Richard,1,richajr01,1979,NL,2.71,292.3,18,0.266,3.194,220,13,98,313,5,19,3,1175,98,0,0
137,4.08,Rick Sutcliffe,1,sutclri01,1982,AL,2.96,216.0,14,0.160,1.449,174,16,98,142,2,6,4,887,81,0,0
