Tom Seaver,1,seaveto01,1976,NL,2.59,271.0,14,211,14,77,235,9,12,4,1079,83,0,0
Nolan Ryan,1,ryanno01,1976,AL,3.36,284.3,17,193,13,183,327,2,5,5,1196,117,0,0
Frank Tanana,1,tananfr01,1975,AL,2.62,257.3,16,211,21,73,269,6,8,7,1029,80,0,0
Nolan Ryan,1,ryanno01,1974,AL,2.89,332.7,22,221,18,202,367,3,9,9,1392,127,0,0
Steve Carlton,1,carltst01,1974,NL,3.22,291.0,16,249,21,136,240,8,11,5,1227,118,0,0
Nolan Ryan,1,ryanno01,1973,AL,2.87,326.0,21,238,18,162,383,2,15,7,1355,113,0,0
Nolan Ryan,1,ryanno01,1972,AL,2.28,284.0,19,166,14,157,329,4,18,10,1154,80,0,0
Mickey Lolich,1,lolicmi01,1971,AL,2.92,376.0,25,336,36,92,308,2,7,7,1538,133,0,0
Tom Seaver,1,seaveto01,1971,NL,1.76,286.3,20,210,18,61,289,2,5,4,1103,61,0,0
Tom Seaver,1,seaveto01,1970,NL,2.82,290.7,18,230,21,83,283,8,6,4,1173,103,0,0
Sam McDowell,1,mcdowsa01,1970,AL,2.92,305.0,20,236,25,131,304,10,17,7,1257,108,0,0
Sam McDowell,1,mcdowsa01,1969,AL,2.94,285.0,18,222,13,102,279,9,14,7,1166,111,0,0
Fergie Jenkins,1,jenkife01,1969,NL,3.21,311.3,21,284,27,71,273,15,7,8,1275,122,0,0
Sam McDowell,1,mcdowsa01,1968,AL,1.81,269.0,15,181,13,110,283,9,7,10,1098,78,0,0
Jim Bunning,1,bunniji01,1967,NL,2.29,302.3,17,241,18,73,253,20,4,13,1216,94,0,0
