Phil Niekro,1,niekrph01,1978,NL,2.88,334.3,19,0.179,295,16,102,248,5,11,13,1389,129,0,0
Jim Palmer,1,palmeji01,1978,AL,2.46,296.0,21,0.115,246,19,97,138,1,5,1,1197,94,0,0
Jim Palmer,1,palmeji01,1977,AL,2.91,319.0,20,0.152,263,24,99,193,1,7,3,1269,106,0,0
Phil Niekro,1,niekrph01,1977,NL,4.03,330.3,16,0.183,315,26,164,262,12,17,8,1428,166,0,0
Andy Messersmith,1,messean01,1975,NL,2.29,321.7,19,0.167,244,22,96,213,2,8,5,1276,92,0,0
Catfish Hunter,1,hunteca01,1975,AL,2.58,328.0,23,0.137,248,25,83,177,4,7,5,1294,107,0,0
Nolan Ryan,1,ryanno01,1974,AL,2.89,332.7,22,0.264,221,18,202,367,3,9,9,1392,127,0,0
Phil Niekro,1,niekrph01,1974,NL,2.38,302.3,20,0.160,249,19,88,195,3,6,6,1219,91,0,0
Jack Billingham,1,billija01,1973,NL,3.04,293.3,19,0.129,257,20,95,155,10,10,10,1205,112,0,0
Wilbur Wood,1,woodwi01,1973,AL,3.46,359.3,24,0.130,381,25,91,199,3,7,7,1531,166,0,0
Wilbur Wood,1,woodwi01,1972,AL,2.51,376.7,24,0.130,325,28,74,193,5,11,7,1490,119,0,0
Mickey Lolich,1,lolicmi01,1971,AL,2.92,376.0,25,0.200,336,36,92,308,2,7,7,1538,133,0,0
Sam McDowell,1,mcdowsa01,1970,AL,2.92,305.0,20,0.242,236,25,131,304,10,17,7,1257,108,0,0
Gaylord Perry,1,perryga01,1970,NL,3.20,328.7,23,0.160,292,27,84,214,8,11,8,1336,138,0,0
Gaylord Perry,1,perryga01,1969,NL,2.49,325.3,19,0.173,290,23,91,233,14,12,11,1345,115,0,0
Juan Marichal,1,maricju01,1968,NL,2.43,326.0,26,0.167,295,21,46,218,9,8,6,1307,106,0,0
Dean Chance,1,chancde01,1967,AL,2.73,283.7,20,0.189,244,17,68,220,7,9,7,1161,109,0,0
Jim Bunning,1,bunniji01,1967,NL,2.29,302.3,17,0.208,241,18,73,253,20,4,13,1216,94,0,0
